1,3,3
1,20,19
1,21,1
1,3,12
2,16,3
2,25,3
2,9,14
2,29,20
3,12,8
3,12,20
3,23,7
3,15,15
4,1,18
4,27,5
4,28,15
4,20,2
5,3,17
5,24,19
6,5,7
7,27,14
8,10,15
8,26,3
8,14,20
9,10,16
10,23,7
10,19,14
10,17,17
10,17,17
11,21,4
11,17,11
12,13,10
12,5,15
12,30,16
13,14,7
13,26,4
13,9,4
14,18,10
14,16,5
15,23,16
16,17,5
16,24,5
16,20,5
16,25,13
17,12,11
17,12,5
17,16,20
18,10,2
18,21,7
19,19,13
19,30,8
19,8,15
19,23,14
20,20,16
20,24,13
20,20,10
20,4,15
21,30,18
21,18,5
21,22,19
21,29,3
22,11,14
22,30,18
23,11,2
23,3,11
23,12,6
24,10,19
24,19,7
24,7,19
24,24,10
25,21,11
25,24,20
26,9,18
27,26,8
28,19,6
28,17,1
29,12,2
29,30,8
29,22,5
30,6,9
30,5,13
30,20,8
