tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,day
131,149,9,18,14
443,480,15,24,8
1014,1036,23,8,18
1204,1209,12,17,24
330,355,24,4,13
971,997,9,19,3
464,469,22,29,27
346,371,13,5,8
924,944,28,26,16
1276,1288,19,16,20
172,201,5,14,25
918,921,25,2,25
492,514,2,22,11
879,880,21,1,16
316,329,18,22,18
233,248,18,17,13
863,878,3,15,7
199,230,9,3,12
230,286,7,15,30
997,1015,11,13,25
872,882,12,18,18
490,503,30,16,20
168,191,23,16,14
634,646,22,17,1
334,356,4,29,31
1302,1327,18,6,9
1071,1087,14,1,5
1079,1102,8,30,29
916,917,17,28,27
346,363,13,18,15
910,933,22,14,21
538,566,27,11,29
640,652,29,13,18
983,1006,22,14,1
229,254,23,6,30
367,385,3,18,18
1260,1275,3,15,1
773,798,18,6,3
375,385,12,30,11
699,721,10,20,3
495,527,24,3,15
472,511,15,6,5
67,76,30,6,27
138,156,10,25,21
1173,1187,10,19,16
193,224,3,20,7
1070,1092,8,2,31
1006,1026,23,26,23
808,822,27,7,1
595,624,5,14,31
1056,1081,24,4,28
245,262,13,22,29
1316,1346,4,3,31
496,520,3,25,25
280,296,23,15,16
982,1010,23,27,17
7,39,8,6,17
730,756,24,22,10
115,138,2,4,21
768,792,5,16,24
102,116,2,21,15
1334,1345,20,25,18
753,783,4,3,18
1260,1283,28,3,29
634,639,16,14,29
678,692,28,30,23
774,782,20,2,30
321,331,24,14,1
759,773,19,10,17
13,13,5,5,23
999,1037,10,7,3
759,776,16,21,11
685,715,5,25,7
624,647,16,23,20
728,736,2,14,13
396,414,1,19,18
777,794,14,12,26
367,385,19,1,29
1005,1028,16,23,1
111,127,1,13,27
334,374,23,7,14
499,511,10,12,24
1189,1201,25,1,28
1361,1386,5,18,21
1086,1102,28,13,30
363,389,10,4,28
389,408,29,8,1
1175,1193,30,10,17
1265,1289,6,11,28
1423,1450,22,4,9
303,333,19,15,30
750,759,10,11,7
750,761,25,20,21
1088,1117,24,27,25
649,667,10,30,4
1307,1325,16,1,20
228,235,13,14,5
389,420,20,3,10
780,812,5,15,7
270,289,16,8,10
615,658,6,7,10
1171,1209,8,15,3
428,445,12,14,29
535,563,23,27,16
1399,1414,30,17,3
550,576,9,19,12
589,618,13,6,1
567,589,4,29,13
98,124,19,7,7
332,362,27,25,31
765,789,8,20,5
30,63,8,3,24
1306,1326,10,2,30
451,455,13,26,26
808,843,14,15,3
755,776,6,1,17
984,1000,18,19,21
251,262,9,14,3
998,1019,9,22,17
1137,1142,12,21,10
1100,1126,25,4,28
678,683,16,24,23
449,457,27,26,4
277,296,16,8,7
779,800,2,28,29
493,510,13,20,30
1429,1443,8,14,30
862,881,21,20,11
1382,1397,22,10,18
1271,1314,6,7,27
1368,1385,16,21,20
152,167,24,30,25
85,106,2,28,16
74,110,12,7,5
375,399,21,27,15
460,460,4,4,3
475,512,7,1,16
835,846,17,11,18
162,174,3,1,22
369,374,29,22,13
259,281,4,29,11
874,897,17,20,23
455,468,21,3,28
464,507,22,7,1
976,1008,15,13,23
105,116,25,20,22
1213,1235,16,12,18
741,753,16,13,16
283,294,17,11,7
1371,1388,12,14,13
1306,1328,22,2,30
267,292,15,18,24
970,987,21,19,7
341,348,17,19,1
11,39,28,15,2
1381,1417,7,12,13
918,937,2,26,25
918,930,28,1,4
6,42,9,15,11
844,876,24,3,16
1282,1292,30,12,8
480,508,27,11,17
738,745,23,1,21
922,946,29,27,30
983,1000,13,4,30
1177,1192,1,2,26
890,903,18,22,9
960,983,11,24,21
982,990,11,12,19
1072,1072,5,5,21
340,362,2,17,16
683,701,29,14,18
783,825,7,11,6
15,25,14,20,30
1019,1041,13,19,23
31,60,27,24,13
1165,1172,8,13,2
342,356,27,7,26
307,330,14,22,5
1428,1464,4,5,18
1086,1089,25,2,26
277,288,17,23,11
697,697,29,29,1
929,970,4,15,18
1372,1397,2,6,10
597,619,4,29,8
66,95,22,27,22
239,249,30,12,23
146,165,16,17,4
445,453,30,29,14
885,902,12,14,5
1270,1297,2,27,6
1304,1323,26,21,11
541,551,14,18,1
961,976,10,8,1
1036,1073,7,1,27
1016,1043,15,17,10
1318,1320,10,18,13
105,124,10,24,22
1346,1365,2,26,1
33,45,1,30,29
212,212,8,8,1
630,648,10,26,1
1248,1266,13,25,1
1406,1432,25,4,4
1254,1277,30,8,16
98,119,11,16,18
890,916,25,4,15
40,55,22,10,25
1011,1026,18,17,18
922,930,24,2,28
1076,1098,8,21,3
73,81,29,30,16
1070,1109,16,15,17
299,331,30,15,27
1287,1319,15,5,12
1185,1214,5,26,31
854,861,29,11,30
1328,1352,30,9,31
313,332,14,11,12
124,156,4,6,23
983,998,2,1,15
1117,1134,16,21,19
1352,1353,1,21,24
942,954,28,23,27
